zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00033276,7.1,7.8,7.3,8.6,7.9,6.9,7.5,8.6,7.8,7.1,7.6,6.7,8.0,7.7,6.0,7.0,8.2,8.2,6.7,8.6,6.8,7.5,8.2,7.2,8.5,7.1,7.7,7.5,7.6,8.2,8.6,,8.2,8.4,8.0,8.0,8.8,8.6,8.2,7.2,7.4,8.8,8.2
00033277,7.6,7.5,8.0,7.8,7.3,7.4,8.0,8.4,7.2,8.2,7.9,7.9,7.5,7.6,7.2,7.7,8.2,7.5,5.2,8.5,7.0,7.6,8.7,7.2,8.2,8.2,8.4,7.9,0.0,8.4,8.6,,7.8,7.8,8.2,8.2,8.4,8.2,8.2,7.6,8.0,8.2,8.0
00034285,8.0,7.8,8.2,8.4,7.5,6.7,8.4,8.3,7.6,7.8,7.3,8.1,7.8,8.0,6.7,10.7,8.4,8.4,7.8,8.6,8.2,8.4,8.6,8.2,7.5,9.1,8.4,9.5,7.4,8.2,8.5,,7.5,8.8,6.3,8.1,6.8,8.2,7.4,8.2,8.2,8.6,8.5
00034310,8.5,7.9,7.9,8.5,7.8,8.1,8.5,8.6,8.5,8.7,7.9,8.2,8.1,9.3,7.0,9.2,8.6,7.0,7.8,8.7,8.3,8.8,9.3,9.0,8.3,9.3,8.2,9.1,8.5,8.4,9.0,,8.7,8.4,8.0,8.4,7.9,8.2,8.2,8.4,8.4,8.9,8.8
00034312,8.0,7.9,7.9,8.4,7.5,7.9,8.3,8.4,7.7,8.2,7.5,8.0,7.9,7.9,6.8,9.0,6.6,3.2,8.2,8.4,8.1,9.0,9.8,8.9,7.8,8.6,8.7,9.0,8.6,8.2,8.5,,8.7,8.6,7.9,8.4,8.1,8.5,8.7,8.7,8.7,9.0,8.9
00034332,8.4,7.9,8.3,8.4,7.8,8.3,8.6,8.6,8.1,8.4,8.0,8.3,8.2,8.7,7.0,8.8,8.0,8.4,8.2,8.8,9.4,8.9,9.0,8.7,8.6,9.4,7.3,8.5,8.2,8.4,8.7,,8.4,8.5,8.0,8.4,8.8,8.6,8.7,8.4,8.4,8.7,8.7
00034344,8.5,8.4,7.8,8.4,8.0,8.3,8.6,8.8,8.2,8.4,8.1,9.2,8.5,8.4,7.2,8.9,8.9,8.4,7.9,8.8,8.9,9.0,9.0,8.5,9.0,9.2,8.7,8.7,8.4,8.5,8.6,,8.3,8.8,8.1,8.5,8.5,8.4,8.4,8.3,8.3,8.7,8.8
00034352,8.9,8.5,7.6,8.7,8.4,8.4,8.9,8.6,8.2,8.3,8.1,8.6,8.2,8.6,7.1,9.1,8.6,8.4,8.0,9.0,9.0,9.0,8.5,9.1,9.0,9.1,8.8,8.8,8.6,8.6,8.7,,8.7,8.5,8.4,8.4,8.8,9.0,8.4,8.3,8.3,8.6,8.5
00034363,,8.5,9.1,9.1,8.1,8.4,8.5,8.6,8.2,8.4,8.0,8.3,8.3,8.5,7.2,8.9,8.0,8.6,8.2,8.5,9.1,8.7,8.6,8.3,8.9,9.5,8.8,8.8,8.5,8.3,8.2,,8.4,8.4,8.2,7.5,8.4,8.5,8.4,8.3,8.3,8.7,8.3
00034376,,8.5,8.7,9.1,8.0,8.4,8.4,8.6,8.0,8.0,8.1,8.2,8.4,8.6,7.0,8.7,8.2,8.4,8.2,8.6,8.8,8.7,8.4,8.6,9.0,10.0,8.8,7.7,8.3,8.5,8.1,,8.4,8.4,8.3,8.8,8.5,8.5,8.6,8.3,8.3,8.7,8.2
