,zettaicode,PC1_Loading,PC2_Loading
98,00038647,0.04728481351573073,0.05145551438693509
99,00038665,0.03639716854517694,0.028958183519639732
100,00038666,0.035575759885255916,0.01458643350807103
101,00038667,0.02095181642846871,0.047541834625716525
102,00038671,0.037537444675201544,0.018743955588829252
103,00038674,0.025351182704421292,0.010373728870886873
104,00040617,0.33093314172198546,0.03112131453586682
105,00040620,0.3148673075374126,0.11546648574377213
106,00040632,0.2212297488058622,0.14301225969577178
107,00040636,0.3064472742548781,0.07861020588112581
108,00040714,0.15149501821079933,0.12997772900470403
109,00040715,0.1569484488651291,0.09557593957532542
110,00044527,-0.04639520336008276,0.049717746269735304
111,00044529,-0.028646411678145377,0.03438157948713031
112,00044531,-0.019586868919563228,0.14878858678487453
113,00044533,-0.005762387657188485,0.01339832930501652
114,00044575,0.04801283294730328,-0.05390924576191586
115,00044578,-0.08530826980891505,0.02953127205215349
116,00044594,0.18959200582529304,-0.146593225292962
117,00044605,0.08500960564842344,-0.1441886880454195
118,00044677,-0.010037856831710662,0.02290436528025388
119,00044679,-0.012208758617132399,0.018262135688112684
120,00044680,-0.006044371417439029,0.04721724112997013
121,00044690,-0.045693191061299106,0.03740129369530575
122,00044696,-0.023484419875521422,0.05070962877910158
123,00044702,-0.09015813877965326,0.07918243259583109
