zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00035582,7.2,7.5,7.6,6.7,7.7,7.4,6.8,6.7,7.0,7.6,7.9,7.6,8.4,6.8,6.9,7.0,7.9,7.1,7.0,7.0,7.5,7.3,6.9,6.8,6.8,7.6,7.2,7.0,7.9,7.4,7.9,,7.3,8.2,7.5,7.6,7.1,8.4,7.4,7.1,7.8,,8.0
00035588,7.6,7.7,8.3,7.0,6.9,7.7,7.2,6.9,7.0,8.2,8.6,7.5,8.0,6.7,7.6,7.6,7.5,6.8,7.8,7.7,7.7,7.0,7.2,7.6,7.6,8.0,7.5,7.1,8.5,7.7,7.4,,6.8,7.8,7.7,7.3,6.9,8.6,8.3,6.4,8.2,,7.8
00035598,7.1,7.1,7.4,6.8,7.7,6.8,6.9,6.3,7.3,7.7,8.0,7.6,9.1,7.2,7.3,7.3,7.8,7.0,6.9,7.2,7.3,7.2,7.0,7.0,6.8,7.9,7.8,7.2,7.3,7.1,7.5,,7.7,7.8,7.6,7.6,7.4,8.1,8.4,7.1,8.2,,8.1
00035613,6.4,8.3,6.7,7.0,7.1,6.4,7.0,6.7,7.8,7.2,7.8,7.4,8.1,7.0,8.2,7.8,7.5,7.0,7.7,7.1,7.9,7.4,6.9,7.8,7.5,7.6,7.6,7.3,9.0,7.4,7.8,,7.3,8.3,8.0,8.3,7.1,8.2,8.4,6.6,8.0,,7.5
00035626,7.8,6.8,7.8,6.9,6.6,7.2,7.5,7.7,7.6,7.4,8.1,7.3,7.9,7.2,8.1,9.6,8.5,7.1,7.2,7.6,8.1,7.0,7.4,8.0,7.8,7.9,7.9,8.5,7.9,7.7,8.2,,6.6,8.4,8.4,8.6,7.5,8.5,9.3,7.8,8.2,,8.5
00035707,7.4,7.0,6.6,6.7,7.2,6.9,6.8,6.9,6.8,7.4,7.9,7.4,8.0,7.3,8.3,7.4,8.4,7.0,7.2,7.5,7.3,7.2,6.9,8.4,7.5,7.9,7.3,8.1,7.5,8.0,7.5,,6.8,8.9,9.3,8.2,7.4,8.8,7.8,6.7,7.4,,7.8
00036103,7.3,6.8,6.4,7.3,6.2,6.9,6.7,6.5,6.3,6.7,6.2,6.4,6.3,6.3,6.4,6.9,6.9,6.8,6.2,7.0,6.6,6.8,7.1,,6.9,6.8,6.3,6.4,6.5,6.1,6.6,,6.8,6.7,6.7,6.5,6.7,6.8,7.1,,6.5,6.6,6.3
00036110,8.4,6.5,6.6,7.4,7.7,6.9,7.3,7.1,6.6,6.9,6.2,4.9,6.7,7.4,8.4,6.9,8.0,6.6,6.6,7.8,7.0,7.2,,,7.5,7.0,6.5,6.7,6.7,6.4,6.9,,6.8,6.9,6.7,7.4,7.4,7.2,7.0,,6.6,7.4,6.8
00036147,7.7,6.7,6.6,6.8,6.0,8.4,6.6,6.5,6.6,6.5,6.0,5.2,6.8,6.6,6.7,6.8,7.6,6.7,6.3,7.6,6.6,6.9,,,7.2,6.9,6.4,6.4,6.5,6.3,6.6,,6.8,7.0,6.6,6.6,7.1,7.1,7.0,,6.7,6.7,6.7
00036164,8.3,6.9,6.5,7.6,6.8,8.0,7.5,6.7,6.5,6.5,6.1,6.7,6.9,6.6,6.4,6.3,7.7,6.8,6.4,7.6,6.8,6.7,,,6.6,,6.4,6.4,7.0,6.2,6.8,,6.9,7.0,7.1,7.3,7.2,7.2,7.2,,6.8,7.3,6.4
